171.752929688,30.83984375,219.580078125,154,186,209
170.825195312,30.01953125,219.990234375,163,194,215
172.778320312,30.01953125,219.990234375,122,153,176
172.778320312,30.01953125,219.990234375,122,153,176
171.752929688,30.83984375,219.580078125,154,186,209
170.727539062,30.87890625,219.560546875,152,183,208
168.334960938,30.05859375,219.970703125,159,190,211
170.825195312,30.01953125,219.990234375,163,194,215
170.629882812,31.73828125,219.130859375,149,180,205
167.749023438,30.91796875,219.541015625,155,186,211
170.727539062,30.87890625,219.560546875,152,183,208
170.727539062,30.87890625,219.560546875,152,183,208
170.727539062,30.87890625,219.560546875,152,183,208
167.749023438,30.91796875,219.541015625,155,186,211
165.356445312,30.09765625,219.951171875,159,190,211
168.334960938,30.05859375,219.970703125,159,190,211
170.629882812,31.73828125,219.130859375,149,180,205
168.627929688,31.77734375,219.111328125,148,181,200
165.795898438,30.91796875,219.541015625,157,190,209
167.749023438,30.91796875,219.541015625,155,186,211
167.749023438,30.91796875,219.541015625,155,186,211
165.795898438,30.91796875,219.541015625,157,190,209
163.891601562,30.09765625,219.951171875,155,184,205
165.356445312,30.09765625,219.951171875,159,190,211
170.532226562,32.59765625,218.701171875,154,184,203
166.674804688,31.77734375,219.111328125,154,186,205
168.627929688,31.77734375,219.111328125,148,181,200
168.627929688,31.77734375,219.111328125,148,181,200
168.627929688,31.77734375,219.111328125,148,181,200
166.674804688,31.77734375,219.111328125,154,186,205
165.258789062,30.95703125,219.521484375,157,189,208
165.795898438,30.91796875,219.541015625,157,190,209
165.795898438,30.91796875,219.541015625,157,190,209
165.258789062,30.95703125,219.521484375,157,189,208
161.401367188,30.13671875,219.931640625,164,191,211
163.891601562,30.09765625,219.951171875,155,184,205
170.532226562,32.59765625,218.701171875,154,184,203
168.041992188,32.63671875,218.681640625,160,190,209
165.161132812,31.81640625,219.091796875,165,193,210
166.674804688,31.77734375,219.111328125,154,186,205
166.674804688,31.77734375,219.111328125,154,186,205
165.161132812,31.81640625,219.091796875,165,193,210
161.840820312,30.95703125,219.521484375,161,189,206
165.258789062,30.95703125,219.521484375,157,189,208
165.258789062,30.95703125,219.521484375,157,189,208
161.840820312,30.95703125,219.521484375,161,189,206
159.448242188,30.13671875,219.931640625,161,185,203
161.401367188,30.13671875,219.931640625,164,191,211
169.946289062,33.45703125,218.271484375,151,177,194
166.088867188,32.63671875,218.681640625,161,187,204
168.041992188,32.63671875,218.681640625,160,190,209
168.041992188,32.63671875,218.681640625,160,190,209
168.041992188,32.63671875,218.681640625,160,190,209
166.088867188,32.63671875,218.681640625,161,187,204
162.719726562,31.81640625,219.091796875,170,196,210
165.161132812,31.81640625,219.091796875,165,193,210
165.161132812,31.81640625,219.091796875,165,193,210
162.719726562,31.81640625,219.091796875,170,196,210
161.303710938,30.99609375,219.501953125,130,156,170
161.840820312,30.95703125,219.521484375,161,189,206
161.840820312,30.95703125,219.521484375,161,189,206
161.303710938,30.99609375,219.501953125,130,156,170
156.958007812,30.17578125,219.912109375,68,87,102
159.448242188,30.13671875,219.931640625,161,185,203
169.946289062,33.45703125,218.271484375,151,177,194
166.479492188,33.49609375,218.251953125,161,186,202
165.063476562,32.67578125,218.662109375,168,193,209
166.088867188,32.63671875,218.681640625,161,187,204
166.088867188,32.63671875,218.681640625,161,187,204
